162.159.198.1:443#麒麟优选 | 09-24 04:39 | BestCF.pages.dev
104.18.39.22:443#麒麟优选 | 电信 | 104.18.39.22 | 44.59ms | 72.02mb/s
172.64.155.107:443#麒麟优选 | 电信 | 172.64.155.107 | 44.76ms | 70.32mb/s
104.18.42.34:443#麒麟优选 | 电信 | 104.18.42.34 | 44.06ms | 69.52mb/s
172.64.146.135:443#麒麟优选 | 电信 | 172.64.146.135 | 43.97ms | 66.76mb/s
172.64.145.247:443#麒麟优选 | 电信 | 172.64.145.247 | 43.21ms | 66.36mb/s
172.64.159.13:443#麒麟优选 | 电信 | 172.64.159.13 | 44.63ms | 66.27mb/s
104.18.35.200:443#麒麟优选 | 电信 | 104.18.35.200 | 43.39ms | 66.20mb/s
172.64.150.213:443#麒麟优选 | 电信 | 172.64.150.213 | 44.59ms | 65.94mb/s
172.64.148.185:443#麒麟优选 | 电信 | 172.64.148.185 | 42.41ms | 65.76mb/s
104.18.34.36:443#麒麟优选 | 电信 | 104.18.34.36 | 43.69ms | 65.30mb/s
172.67.76.216:443#麒麟优选 | 联通 | 172.67.76.216 | 67.18ms | 49.86mb/s
162.159.128.18:443#麒麟优选 | 联通 | 162.159.128.18 | 66.85ms | 49.73mb/s
172.67.73.228:443#麒麟优选 | 联通 | 172.67.73.228 | 65.33ms | 49.13mb/s
172.67.75.0:443#麒麟优选 | 联通 | 172.67.75.0 | 67.23ms | 48.17mb/s
162.159.131.202:443#麒麟优选 | 联通 | 162.159.131.202 | 66.21ms | 47.88mb/s
172.67.78.139:443#麒麟优选 | 联通 | 172.67.78.139 | 67.05ms | 46.74mb/s
104.20.23.187:443#麒麟优选 | 联通 | 104.20.23.187 | 66.61ms | 46.68mb/s
172.67.70.168:443#麒麟优选 | 联通 | 172.67.70.168 | 66.82ms | 45.53mb/s
162.159.132.172:443#麒麟优选 | 联通 | 162.159.132.172 | 65.44ms | 43.97mb/s
162.159.145.214:443#麒麟优选 | 联通 | 162.159.145.214 | 67.45ms | 43.11mb/s
172.64.147.174:443#麒麟优选 | 移动 | 172.64.147.174 | 47.19ms | 16.29mb/s
172.64.156.80:443#麒麟优选 | 移动 | 172.64.156.80 | 49.95ms | 14.69mb/s
172.64.154.69:443#麒麟优选 | 移动 | 172.64.154.69 | 51.56ms | 13.78mb/s
172.64.229.68:443#麒麟优选 | 移动 | 172.64.229.68 | 49.56ms | 13.63mb/s
172.64.159.229:443#麒麟优选 | 移动 | 172.64.159.229 | 50.10ms | 13.51mb/s
172.64.158.238:443#麒麟优选 | 移动 | 172.64.158.238 | 50.00ms | 13.33mb/s
172.64.152.110:443#麒麟优选 | 移动 | 172.64.152.110 | 49.90ms | 12.88mb/s
172.64.145.216:443#麒麟优选 | 移动 | 172.64.145.216 | 49.78ms | 12.53mb/s
172.64.157.114:443#麒麟优选 | 移动 | 172.64.157.114 | 51.42ms | 9.78mb/s
104.17.27.7:443#麒麟优选 | 移动 | 104.17.27.7 | 52.32ms | 9.62mb/s
172.64.157.6:443#麒麟优选 | 多线 | 172.64.157.6 | 71.67ms | 15.84mb/s
172.64.229.117:443#麒麟优选 | 多线 | 172.64.229.117 | 41.93ms | 14.53mb/s
104.18.39.34:443#麒麟优选 | 多线 | 104.18.39.34 | 71.24ms | 14.35mb/s
104.18.40.13:443#麒麟优选 | 多线 | 104.18.40.13 | 69.07ms | 14.29mb/s
104.18.44.5:443#麒麟优选 | 多线 | 104.18.44.5 | 69.21ms | 14.21mb/s
104.18.42.26:443#麒麟优选 | 多线 | 104.18.42.26 | 71.62ms | 13.70mb/s
172.64.153.84:443#麒麟优选 | 多线 | 172.64.153.84 | 69.40ms | 8.59mb/s
104.18.46.101:443#麒麟优选 | 多线 | 104.18.46.101 | 70.10ms | 1.82mb/s
172.64.146.202:443#麒麟优选 | 多线 | 172.64.146.202 | 68.59ms | 0.14mb/s
172.64.158.108:443#麒麟优选 | 多线 | 172.64.158.108 | 70.13ms | 0.14mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
